Id,Label,Title,Score,Tags,CreationDate,ViewCount,LastEditDate,LastActivityDate,Body,AnswerCount,CommentCount,FavoriteCount,NumEdits
"1400008","0","When will SendAsync complete?","0","<c#><sendasync>","2009-09-09 14:20:20","674","","2009-09-09 14:22:38","<p>I'm writing a server and need to be able to send a message to all connected clients.</p>

<p>I'm trying to decide if I should create SocketAsyncEventArgs for each connected socket and send all the packets at once. </p>

<p>Another approach would be to use a single SocketAsyncEventArgs and send the packets one after another. Then it would be tempting to call SendAsync in the ProcessSend method (which is called when SendAsync has completed) and have a queue of connected sockets. But what if for some reason SendAsync will not complete in a reasonable amount of time? Is there any scenario that would make it never to complete?</p>
","1","","","3"
"1400010","1","Closing WCF connection","11","<wcf><connection><closing>","2009-09-09 14:20:33","7892","2009-09-09 14:22:18","2012-04-08 19:54:51","<p>We are using WCF service</p>

<p>on the client side we are planning to explicitly close the connection
It seems there are more then one way of closing </p>

<p>Sample1:
In the finally block of the WCF service consumption use </p>

<pre><code>if (client.State == CommunicationState.Faulted)
{
  client.Abort();
}
client.Close();
</code></pre>

<p>Since if the service is in fault state we will not be able to call close()</p>

<p>Sample2:</p>

<pre><code>using(ClientProxy proxy = new ClientProxy())
{   
  //call your service methods
}
</code></pre>

<p>in sample2 i am not sure what will happen if the service is in fault state, will it throw error closing the connection?</p>
","5","1","4","4"
"1400012","1","Endianness of integers in Python","10","<python><integer><endianness>","2009-09-09 14:20:42","5933","","2009-09-09 14:39:59","<p>I'm working on a program where I store some data in an integer and process it bitwise.  For example, I might receive the number 48, which I will process bit-by-bit.  In general the endianness of integers depends on the machine representation of integers, but does Python do anything to guarantee that the ints will always be little-endian?  Or do I need to check endianness like I would in C and then write separate code for the two cases?</p>

<p>I ask because my code runs on a Sun machine and, although the one it's running on now uses Intel processors, I might have to switch to a machine with Sun processors in the future, which I know is big-endian.</p>
","3","","3","3"
"1400016","1","How to get the value of key a and 'a' in javascript","3","<javascript>","2009-09-09 14:20:54","1036","2009-09-09 14:22:56","2009-09-09 14:46:54","<p>How to get the value of key a and 'a' in javascript?</p>

<pre><code>var obj = {a:1,'a':2}
</code></pre>
","5","","","4"
"1400017","0","Select next first element in jQuery","0","<jquery>","2009-09-09 14:21:32","1277","","2009-09-10 16:51:53","<pre><code> &lt;fieldset id=""fs1""&gt;
            &lt;legend id=""leg1""&gt;First Legend&lt;/legend&gt;
            &lt;div id=""div1""&gt;
                ""Sed ut perspiciatis unde omnis iste natus error sit voluptatem accusantium doloremque
                laudantium, totam rem aperiam, eaque ipsa quae ab illo inventore veritatis et quasi                   
                 &lt;div id=""div1Child""&gt;
                      ********* Sample text here ****************
                  &lt;/div&gt;
            &lt;/div&gt;

        &lt;/fieldset&gt;
        &lt;fieldset id=""fs2""&gt;
            &lt;legend id=""leg2""&gt;Second Legend&lt;/legend&gt;
            &lt;div id=""div2""&gt;
                ""At vero eos et accusamus et iusto odio dignissimos ducimus qui blanditiis praesentium
                voluptatum deleniti atque corrupti quos dolores et quas molestias excepturi sint

                  &lt;div id=""div2Child""&gt;

                      ********* Sample text here ****************
                 &lt;/div&gt;
            &lt;/div&gt;

        &lt;/fieldset&gt;
</code></pre>

<p>When I click the <strong><em>legend</em></strong>, I should get the contents of the first div (div1 and div2) only. I don't want to display the ""Sample Text Here"" which is the child div(Id -->> div1Child and div2Child) of the div. Any help would be appreciated. It's pretty urgent.</p>

<p>Thanks in advance.</p>
","4","1","","3"
"1400019","0","how to perform proper indexing and searching in Lucene.Net","1","<.net><lucene>","2009-09-09 14:21:59","119","2009-09-09 14:24:01","2010-04-04 20:00:04","<p>I have a list of all words in the document. I want to index it and latter I want to retrieve a particular word and some near by words (10 words before the result and 10 words after the result).</p>

<p>What is the proper way of indexing and searching in Lucene.net?
Please reply me as soon as possible.</p>

<p>Thanking you,</p>

<p>Ashish</p>
","1","1","","5"
"1400021","0","Getting error while transfering PGP file through FTP : The underlying connection was closed: An unexpected error occurred on a receive","0","<file><ftp><transfer><pgp>","2009-09-09 14:22:23","465","2009-09-09 14:32:25","2011-02-02 17:06:44","<p>I am trying to upload a PGP encrypted file through FTP. But I am getting an error message as follows:</p>

<p><strong>The underlying connection was closed: An unexpected error occurred on a receive.</strong></p>

<p>I am using the following code and getting the error at line:</p>

<p><strong>Stream ftpStream = response.GetResponse();</strong></p>

<p>Is there any one who can help me out ASAP.</p>

<p>Following is the code sample:</p>

<pre><code>FtpWebRequest request =
  WebRequest.Create(""ftp://ftp.website.com/sample.txt.pgp"") as FtpWebRequest; 
request.UsePassive = true;    
FtpWebResponse response = request.GetResponse() as FtpWebResponse;    
Stream ftpStream = response.GetResponse();    
int bufferSize = 8192;    
byte[] buffer = new byte[bufferSize];    
using (FileStream fileStream =
       new FileStream(""localfile.zip"", FileMode.Create, FileAccess.Write))
{
    int nBytes;
    while((nBytes = ftpStream.Read(buffer, 0, bufferSize) &gt; 0)
    {
        fileStream.Write(buffer, 0, nBytes);
    }
}
</code></pre>

<p>Regards,
Sumeet</p>
","2","","","5"
"1400023","1","XML Digital Signature validation","0","<java><xml><digital-signature><verify><xml-signature>","2009-09-09 14:22:43","1538","2011-08-05 14:55:34","2011-08-05 14:55:34","<p>I was trying to validate an XML signature. </p>

<p>The validation according to this <a href=""http://www.j2ee.me/webservices/docs/2.0/tutorial/doc/XMLDigitalSignatureAPI8.html"" rel=""nofollow"">tutorial</a> works fine.</p>

<p>But I also tried to a second approach. To verify it with the <a href=""http://java.sun.com/javase/6/docs/api/java/security/Signature.html#verify%28byte%5B%5D%29"" rel=""nofollow"">verify method</a> of the Signature class 
I extracted the signature and the certificate from the xml file, and I did the following:</p>

<pre><code>    public static boolean checkSignedFile(byte[] data, byte[] sigToVerify,
		byte[] cert, String algorithm) throws CertificateException,
		NoSuchAlgorithmException, InvalidKeyException, SignatureException {
	CertificateFactory cf = CertificateFactory.getInstance(""X.509"");
	Certificate c = (Certificate) cf
			.generateCertificate(new ByteArrayInputStream(cert));
	PublicKey pk = c.getPublicKey();
	Signature sig;
	boolean verifies = false;
	sig = Signature.getInstance(algorithm);
	sig.initVerify(pk);
	sig.update(data);
	verifies = sig.verify(sigToVerify);
	return verifies;
}
</code></pre>

<p>the result was false. The signature did not verify. What could be the reason for that?</p>
","2","","","5"
"1400025","1","Problems with Exception Handling in Winforms application using a global error handler","0","<vb.net><winforms><visual-studio-2008><debugging>","2009-09-09 14:22:56","875","2009-11-18 07:08:20","2009-11-18 07:08:20","<p>I have a Windows Form application that has a global error handler to display unexpected errors. </p>

<pre><code>Namespace My

    Class MyApplication

        Delegate Sub ProcessParametersDelegate(ByVal sender As Object, ByVal args() As String)

        Private Sub MyApplication_UnhandledException(ByVal sender As Object, ByVal e As Microsoft.VisualBasic.ApplicationServices.UnhandledExceptionEventArgs) Handles Me.UnhandledException

            Dim ErrorText As String = e.Exception.Message &amp; "", "" &amp; e.Exception.StackTrace

            Try                    
                MessageBox.Show(""Global Error Handler: An unhandled error occurred. It will be copied to your clipboard upon OKing this message: "" &amp; ErrorText)
                Clipboard.SetText(ErrorText)
            Catch ex As Exception

            End Try

        End Sub

    End Class

End Namespace
</code></pre>

<p>In VS2008, I have my Debug - > Exceptions options set to the defaults, which are to raise an error on all unhandled exceptions.</p>

<p>I have a few issues:</p>

<p>1) for the same deployed code, I SOMETIMES get line number in the displayed StackTrace error message and sometimes do not, even when the error message includes source code that I have written rather than a referenced binary. The project is compiled with a DEBUG configuration.</p>

<p>2) The application strangely minimizes to the tray when the error occurs (I thin it is unlikely that anyone can diagnose this issue w/o my more code posted, but I'll mention it anyways)</p>

<p>3) When I try to intentionally raise an error by, for example, dividing by zero hoping to test by global error handler, I get a dialog error message from the interactive debugger rather than jumping into my global error handler (which i want to debug because there is more to it than I posted.) Do you have any idea how to triggerand force teh execution of  the global event handler?</p>
","2","","0","5"
"1400027","1","ASP .NET with MySQL - use TINYINT with asp:Checkbox","1","<asp.net><mysql>","2009-09-09 14:23:23","1246","","2009-11-18 21:07:11","<p>For my ASP .NET webpage I am using a MySQL database with a TINYINT field to indicate a boolean (0/1) value.</p>

<p>Thanks to stackoverflow I was able to read the field value into a Listview as a asp:Checkbox.</p>

<pre><code> &lt;asp:CheckBox ID=""freight_foundCheckbox"" runat=""server""
     Checked='&lt;%# Convert.ToBoolean(Eval(""freight_found"")) %&gt;'  /&gt;
</code></pre>

<p>What is challenging me now is how to reverse the transaction in the <strong>InsertItemTemplate</strong> or <strong>EditItemTemplate</strong>.</p>

<p>The listview textbox reads as:</p>

<pre><code>    &lt;asp:TextBox ID=""freight_foundTextBox"" runat=""server"" 
       Text='&lt;%# Bind(""freight_found"") %&gt;' /&gt;
</code></pre>

<p>How do I bind a asp:Checkbox value back into the database as a integer value?</p>
","2","","","3"
